,competitiveStats.awards.cards,competitiveStats.awards.medals,competitiveStats.awards.medalsBronze,competitiveStats.awards.medalsGold,competitiveStats.awards.medalsSilver,competitiveStats.careerStats.allHeroes.assists.defensiveAssists,competitiveStats.careerStats.allHeroes.assists.healingDone,competitiveStats.careerStats.allHeroes.assists.offensiveAssists,competitiveStats.careerStats.allHeroes.average.allDamageDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.barrierDamageDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.deathsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.eliminationsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.finalBlowsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.healingDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.heroDamageDoneAvgPer10Min,competitiveStats.careerStats.allHeroes.average.objectiveKillsAvgPer10Min,competitiveStats.careerStats.allHeroes.average.soloKillsAvgPer10Min,competitiveStats.careerStats.allHeroes.best.allDamageDoneMostInGame,competitiveStats.careerStats.allHeroes.best.barrierDamageDoneMostInGame,competitiveStats.careerStats.allHeroes.best.defensiveAssistsMostInGame,competitiveStats.careerStats.allHeroes.best.eliminationsMostInGame,competitiveStats.careerStats.allHeroes.best.finalBlowsMostInGame,competitiveStats.careerStats.allHeroes.best.healingDoneMostInGame,competitiveStats.careerStats.allHeroes.best.heroDamageDoneMostInGame,competitiveStats.careerStats.allHeroes.best.killsStreakBest,competitiveStats.careerStats.allHeroes.best.meleeFinalBlowsMostInGame,competitiveStats.careerStats.allHeroes.best.multikillsBest,competitiveStats.careerStats.allHeroes.best.objectiveKillsMostInGame,competitiveStats.careerStats.allHeroes.best.offensiveAssistsMostInGame,competitiveStats.careerStats.allHeroes.best.soloKillsMostInGame,competitiveStats.careerStats.allHeroes.best.turretsDestroyedMostInGame,competitiveStats.careerStats.allHeroes.combat.barrierDamageDone,competitiveStats.careerStats.allHeroes.combat.damageDone,competitiveStats.careerStats.allHeroes.combat.deaths,competitiveStats.careerStats.allHeroes.combat.eliminations,competitiveStats.careerStats.allHeroes.combat.finalBlows,competitiveStats.careerStats.allHeroes.combat.heroDamageDone,competitiveStats.careerStats.allHeroes.combat.meleeFinalBlows,competitiveStats.careerStats.allHeroes.combat.multikills,competitiveStats.careerStats.allHeroes.combat.objectiveKills,competitiveStats.careerStats.allHeroes.combat.soloKills,competitiveStats.careerStats.allHeroes.game.gamesLost,competitiveStats.careerStats.allHeroes.game.gamesPlayed,competitiveStats.careerStats.allHeroes.game.gamesTied,competitiveStats.careerStats.allHeroes.game.gamesWon,competitiveStats.careerStats.allHeroes.matchAwards.cards,competitiveStats.careerStats.allHeroes.matchAwards.medals,competitiveStats.careerStats.allHeroes.matchAwards.medalsBronze,competitiveStats.careerStats.allHeroes.matchAwards.medalsGold,competitiveStats.careerStats.allHeroes.matchAwards.medalsSilver,competitiveStats.games.played,competitiveStats.games.won,gamesWon,level,prestige
8359,3.0,19.0,4.0,6.0,9.0,150.0,61546.0,30.0,7609.0,2751.0,7.52,14.59,5.05,5646.0,4591.0,5.69,0.73,23382.0,8665.0,43.0,34.0,23.0,16288.0,13697.0,12.0,2.0,4.0,17.0,15.0,23.0,4.0,29991.0,50044.0,82.0,159.0,55.0,50044.0,7.0,9.0,62.0,8.0,5.0,8.0,2.0,3.0,3.0,19.0,4.0,6.0,9.0,8.0,3.0,512.0,18.0,2.0
6441,7.0,121.0,39.0,38.0,44.0,174.0,126860.0,115.0,9201.0,2896.0,7.8,14.3,6.46,2374.0,6174.0,4.96,1.5,27945.0,8062.0,28.0,56.0,38.0,17433.0,19883.0,16.0,1.0,3.0,15.0,16.0,38.0,1.0,154767.0,329890.0,417.0,764.0,345.0,329890.0,3.0,9.0,265.0,80.0,31.0,49.0,1.0,17.0,7.0,121.0,39.0,38.0,44.0,49.0,17.0,585.0,83.0,2.0
809,2.0,6.0,0.0,4.0,1.0,25.0,20953.0,3.0,6291.0,2415.0,9.85,10.67,2.46,8598.0,3703.0,4.92,1.64,9746.0,2736.0,20.0,22.0,6.0,13164.0,6867.0,7.0,2.0,4.0,11.0,3.0,6.0,4.0,5885.0,9024.0,24.0,26.0,6.0,9024.0,7.0,6.0,12.0,4.0,3.0,3.0,2.0,10.0,2.0,6.0,13.0,4.0,1.0,3.0,0.0,719.0,46.0,2.0
4471,2.0,48.0,11.0,13.0,24.0,10.0,3918.0,2.0,10816.0,3215.0,9.48,16.22,8.62,211.0,7484.0,5.17,1.19,23607.0,10972.0,6.0,41.0,21.0,1160.0,12458.0,12.0,3.0,5.0,17.0,3.0,21.0,6.0,59670.0,138902.0,176.0,301.0,160.0,138902.0,8.0,7.0,96.0,22.0,10.0,16.0,1.0,5.0,2.0,48.0,11.0,13.0,24.0,16.0,5.0,4843.0,3.0,21.0
184,1.0,14.0,3.0,5.0,6.0,61.0,30892.0,43.0,3835.0,1480.0,9.02,6.37,2.84,3028.0,2270.0,2.55,0.1,12046.0,5028.0,20.0,19.0,7.0,11886.0,6618.0,9.0,2.0,4.0,9.0,10.0,7.0,4.0,15100.0,23158.0,92.0,65.0,29.0,23158.0,7.0,1.0,26.0,1.0,6.0,10.0,2.0,4.0,1.0,14.0,3.0,5.0,6.0,10.0,4.0,892.0,65.0,4.0
4447,9.0,48.0,10.0,19.0,19.0,297.0,148849.0,165.0,5559.0,2359.0,5.82,8.87,2.09,6771.0,3142.0,4.41,0.05,14743.0,6901.0,29.0,24.0,8.0,14704.0,9604.0,12.0,2.0,3.0,16.0,20.0,8.0,2.0,51866.0,69072.0,128.0,195.0,46.0,69072.0,3.0,2.0,97.0,1.0,9.0,23.0,1.0,13.0,9.0,48.0,10.0,19.0,19.0,23.0,13.0,1052.0,90.0,3.0
8563,2.0,14.0,3.0,4.0,7.0,142.0,68219.0,47.0,5123.0,1509.0,7.53,7.91,2.57,6505.0,2576.0,3.24,0.19,21113.0,3546.0,36.0,21.0,7.0,18811.0,8019.0,11.0,2.0,4.0,14.0,21.0,7.0,4.0,15822.0,27010.0,79.0,83.0,27.0,27010.0,7.0,6.0,34.0,2.0,4.0,8.0,2.0,4.0,2.0,14.0,3.0,4.0,7.0,8.0,4.0,580.0,39.0,2.0
183,3.0,29.0,1.0,9.0,19.0,251.0,134373.0,200.0,5788.0,2479.0,4.91,15.68,3.34,9160.0,3132.0,4.77,0.07,10072.0,5145.0,36.0,31.0,6.0,17905.0,4959.0,16.0,2.0,3.0,10.0,26.0,6.0,4.0,36358.0,45938.0,72.0,230.0,49.0,45938.0,6.0,2.0,70.0,1.0,6.0,14.0,2.0,8.0,3.0,29.0,1.0,9.0,19.0,14.0,8.0,617.0,81.0,1.0
13017,2.0,7.0,1.0,3.0,3.0,47.0,39405.0,27.0,1702.0,718.0,7.74,5.53,0.83,10890.0,965.0,1.93,1.13,3488.0,1531.0,22.0,12.0,2.0,20494.0,1887.0,3.0,2.0,4.0,6.0,15.0,2.0,4.0,2597.0,3493.0,28.0,20.0,3.0,3493.0,7.0,6.0,7.0,20.5,2.0,3.0,2.0,1.0,2.0,7.0,1.0,3.0,3.0,3.0,1.0,1708.0,98.0,6.0
4369,0.0,2.0,2.0,0.0,0.0,98.0,41762.0,58.0,9009.0,2977.0,12.5,10.41,3.12,2052.0,5606.0,4.17,1.04,8652.0,2858.0,26.0,10.0,3.0,12768.0,5383.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,2858.0,5383.0,12.0,10.0,3.0,5383.0,7.0,6.0,4.0,1.0,1.0,1.0,2.0,10.0,7.0,2.0,2.0,16.0,13.0,1.0,0.0,1237.0,86.0,5.0
